Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (lbf·in),Thrust (lbf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),Vibration (g),App message,
0,1000,,,,-0.0625,0.048828125,-0.994140625,,,24.265114524041987,0.11417164535647521,0,0,2.7703880499731777,,0,,,0.0625,,
0,1000,,,,-0.0625,0.048828125,-0.998046875,,,24.26489723332459,0.11048245411441436,0,0,2.680845395171764,,0,,,0.0625,,
0.023360000000102445,1000,,,,-0.0625,0.05078125,-0.994140625,,,24.26483846428447,0.10814171208797306,0,0,2.6240411750658255,,0,,,0.0625,,
0.046375,1000,,,,-0.0625,0.048828125,-0.99609375,-1.4319145340918522,,24.265559472208256,0.10804118676951445,0,0,2.6216798430036126,0,0,0,0,0.0625,,
0.06793999999994411,1000,,,,-0.0625,0.046875,-0.970703125,,,24.26561539403986,0.10898991609229265,0,0,2.644707385724249,,0,,,0.064453125,,
0.09193500000005587,1000,,,,-0.0625,0.046875,-0.994140625,,,24.26588813419256,0.1123733809736852,0,0,2.7268398919684476,,0,,,0.064453125,,
0.11583499999996275,1000,,,,-0.0625,0.046875,-1.0078125,,-1.1320627992855996,24.265903809373054,0.11327003423696433,0,0,2.748599755278569,,0,,0,0.064453125,,
0.13964500000001862,1000,,,,-0.0625,0.048828125,-0.98046875,,,24.26588682370018,0.11280984719382248,0,0,2.7374309846042073,,0,,,0.064453125,,
0.16511000000010245,1000,,,,-0.0625,0.046875,-1.009765625,,,24.266067792951436,0.11196107911264253,0,0,2.7168551359193827,,0,,,0.064453125,,
0.1913049999999348,1000,,,,-0.0625,0.048828125,-1.009765625,-1.4315761631533035,,24.266290686624416,0.11064030888656108,0,0,2.6848298970992057,0,0,0,0,0.0625,,
0.21647999999998138,1000,,,,-0.0625,0.046875,-0.99609375,,,24.2664156363784,0.1081169861302248,0,0,2.623611722788594,,0,,,0.0625,,
0.24142500000004657,1000,,,,-0.0625,0.048828125,-0.994140625,,,24.26641383240854,0.10584441734289171,0,0,2.5684644330927697,,0,,,0.0625,,
0.2655549999999348,1000,,,,-0.0625,0.048828125,-1.009765625,,-1.1319624783363378,24.26626210418859,0.10398381256560664,0,0,2.52329845030983,,0,,0,0.0625,,
0.2915,1000,,,,-0.0625,0.05078125,-0.998046875,,,24.266057386208836,0.10357862019130663,0,0,2.513444741546576,,0,,,0.0625,,
0.31583499999996273,1000,,,,-0.0625,0.048828125,-0.99609375,,,24.26604960633048,0.10699378261236828,0,0,2.5963164364406683,,0,,,0.0625,,
0.3413300000000745,1000,,,,-0.0625,0.048828125,-0.99609375,-1.4310805110277192,,24.266200327690285,0.10987473526016384,0,0,2.666242336775071,0,0,0,0,0.0625,,
