Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (lbf·in),Thrust (lbf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),Vibration (g),App message,
285.780545,1339,,,,-0.234375,-0.0234375,-0.962890625,,,24.32328757547789,1.5487287481063032,0,0,37.670174716599476,,0,,,0.74609375,,
285.806255,1339,,,,0.140625,0.078125,-0.955078125,,,24.323913641154164,1.5500491547962891,0,0,37.70326178080894,,0,,,0.7421875,,
285.82976,1339,,,,-0.166015625,0.111328125,-1.03515625,-1.4181036024810836,,24.323986816194395,1.5592244967813123,0,0,37.92655610319598,0,0,0,0,0.734375,,
285.85791500000005,1339,,,,0.203125,-0.068359375,-1.06640625,,,24.32434842855764,1.5547294870627208,0,0,37.81778175546632,,0,,,0.73046875,,
285.88194500000003,1339,,,,-0.1875,-0.220703125,-0.98828125,,,24.324544422833135,1.5511205499857006,0,0,37.73030072329654,,0,,,0.7265625,,
285.90764,1339,,,,0.1875,-0.28515625,-0.884765625,,-0.7953151404808502,24.32404454000097,1.5614570824608196,0,0,37.98095162107694,,0,,0,0.732421875,,
285.92973500000005,1339,,,,-0.28125,0.103515625,-1.125,,,24.324269316389767,1.5588763899753717,0,0,37.918529140722384,,0,,,0.736328125,,
285.95725500000003,1339,,,,0.078125,0.1171875,-0.759765625,,,24.32422721500698,1.550179126369985,0,0,37.706909293784534,,0,,,0.73828125,,
285.980175,1339,,,,0,0.50390625,-1.091796875,-1.4174002489355364,,24.324036531472558,1.5538341019915172,0,0,37.79551746068952,0,0,0,0,0.740234375,,
286.00785,1339,,,,0.0625,0.185546875,-0.71484375,,,24.324031225972142,1.54288494460878,0,0,37.52918157074626,,0,,,0.7421875,,
286.02961000000005,1339,,,,-0.2109375,0.240234375,-1.10546875,,,24.32370249001113,1.5363910530209735,0,0,37.37071888199707,,0,,,0.744140625,,
286.05896,1339,,,,-0.2734375,0.3359375,-1.095703125,,-0.8781271087141219,24.323750325409858,1.5469725884361427,0,0,37.628175001373755,,0,,0,0.736328125,,
286.0818100000001,1339,,,,0.162109375,-0.15625,-0.94921875,,,24.3235032587071,1.5515496621312106,0,0,37.7391232628944,,0,,,0.732421875,,
286.10859999999997,1339,,,,-0.037109375,-0.1875,-1.13671875,,,24.323924120811835,1.5421701648684645,0,0,37.511630071640404,,0,,,0.728515625,,
286.13079999999997,1339,,,,0.0859375,-0.169921875,-0.869140625,-1.4212595802631611,,24.3239344100424,1.5422740392085679,0,0,37.51417257202037,0,0,0,0,0.728515625,,
286.156235,1339,,,,-0.171875,-0.013671875,-1.005859375,,,24.323748091101464,1.5480268887344208,0,0,37.65381607982761,,0,,,0.728515625,,
286.18011000000007,1339,,,,0.01171875,0,-1.05859375,,,24.323672082068875,1.550495055943525,0,0,37.71373330563934,,0,,,0.7265625,,
286.20744,1339,,,,0.1875,0.046875,-1.013671875,,-0.8355882791770249,24.32340944441109,1.56518445612146,0,0,38.07062238227016,,0,,0,0.71875,,
286.23125,1339,,,,-0.07421875,-0.076171875,-1.14453125,,,24.323344062004814,1.5724583670300192,0,0,38.247445884449405,,0,,,0.71484375,,
286.26100500000007,1339,,,,0.234375,-0.533203125,-0.93359375,,,24.323303342528078,1.5574788095263472,0,0,37.883029533668854,,0,,,0.71484375,,
286.289395,1339,,,,-0.052734375,0.052734375,-0.9453125,-1.4189526321439772,,24.323254330232448,1.5531528090699411,0,0,37.77773078872313,0,0,0,0,0.71875,,
286.31183500000003,1339,,,,-0.13671875,0.177734375,-0.896484375,,,24.323352837559277,1.5603968151530991,0,0,37.95408230157259,,0,,,0.720703125,,
286.33755500000007,1339,,,,0.046875,0.1328125,-0.908203125,,,24.323768983340102,1.554937529802835,0,0,37.82194125844967,,0,,,0.72265625,,
286.35983,1339,,,,-0.287109375,0.189453125,-1.080078125,,-0.8177767779558025,24.323621076682066,1.5543977670255138,0,0,37.80858228756933,,0,,0,0.72265625,,
286.38562500000006,1339,,,,0.09375,-0.48828125,-0.923828125,,,24.323912891150176,1.5606793692953211,0,0,37.96182902975459,,0,,,0.720703125,,
286.412005,1339,,,,-0.2734375,0.275390625,-1.0546875,,,24.323927387405522,1.5475292265342844,0,0,37.64198853610777,,0,,,0.72265625,,
286.44277500000004,1339,,,,0.04296875,0.01953125,-0.97265625,-1.4301596480204544,,24.324644835167188,1.5467260363281916,0,0,37.62356149098916,0,0,0,0,0.728515625,,
286.48334,1339,,,,-0.0625,0.291015625,-0.9765625,,,24.324018927850258,1.5444500482391468,0,0,37.56723220648825,,0,,,0.72265625,,
286.51228000000003,1339,,,,-0.046875,0.271484375,-1.107421875,,-0.8104736358855891,24.323925713427666,1.5418439966886046,0,0,37.50369883714803,,0,,0,0.72265625,,
286.5445050000001,1339,,,,0.09375,-0.06640625,-1.05859375,,,24.324009685469804,1.5506374772809943,0,0,37.71772101603537,,0,,,0.71875,,
286.56752500000005,1339,,,,0.0703125,-0.236328125,-0.978515625,,,24.32420814918208,1.5477820320589397,0,0,37.64857231736566,,0,,,0.7109375,,
286.59409500000004,1339,,,,0.0859375,-0.087890625,-0.88671875,-1.4224174332847555,,24.324246171687243,1.5412764063859332,0,0,37.49038672754491,0,0,0,0,0.705078125,,
286.62131,1339,,,,0.037109375,-0.046875,-0.953125,,,24.324094429095204,1.5446775634523475,0,0,37.5728829159196,,0,,,0.701171875,,
286.65096500000004,1339,,,,-0.134765625,-0.017578125,-0.89453125,,-0.8042670176545273,24.32389422606333,1.541782223830774,0,0,37.502147732084445,,0,,0,0.701171875,,
286.68048000000005,1339,,,,0.173828125,-0.0703125,-0.9609375,,,24.32316947493202,1.5495438987587051,0,0,37.68981885835489,,0,,,0.705078125,,
286.71029000000004,1339,,,,-0.33203125,0.3671875,-1.017578125,,,24.323543369305785,1.5404369632682027,0,0,37.46888528373583,,0,,,0.703125,,
286.74490000000003,1339,,,,-0.0703125,0.138671875,-0.908203125,-1.4333643745232152,,24.32363552720652,1.53401920024613,0,0,37.3129239185237,0,0,0,0,0.705078125,,
286.770315,1339,,,,-0.224609375,0.11328125,-0.9765625,,,24.32351412088002,1.5362750655669528,0,0,37.36760825087366,,0,,,0.701171875,,
286.7923650000001,1339,,,,-0.25,0.533203125,-1.203125,,,24.323520072016056,1.5362031277887012,0,0,37.36586761346232,,0,,,0.70703125,,
286.81422499999996,1339,,,,0.015625,0.224609375,-0.8359375,,-0.8823611417777529,24.323508427562945,1.5205201664903158,0,0,36.98438508390661,,0,,0,0.7109375,,
286.84033,1339,,,,-0.15625,0.02734375,-1.28125,,,24.32415196846393,1.5225956084918835,0,0,37.03584696747238,,0,,,0.7109375,,
286.86476,1339,,,,0.08203125,0.126953125,-0.896484375,,,24.32424459946602,1.5236428954981376,0,0,37.06146247233534,,0,,,0.71484375,,
286.89117,1339,,,,-0.34375,-0.015625,-1.251953125,-1.4244818812846263,,24.324283869265866,1.5251066541069949,0,0,37.09712718540481,0,0,0,0,0.71484375,,
